id,Temperature,Salinity of water [psu],Depth of reading [m],Location
2,-1.2,34.4,99,Kerguelen Islands
7,2.1,34.1,259,Kerguelen Islands
12,2.6,33.9,199,Kerguelen Islands
17,3.1,33.8,16,Kerguelen Islands
22,2.9,33.8,98,Kerguelen Islands
27,2.2,34.1,273,Kerguelen Islands
32,2.1,34.0,179,Kerguelen Islands
37,2.3,34.3,459,Kerguelen Islands
42,2.0,34.0,232,Kerguelen Islands
47,2.4,34.4,569,Kerguelen Islands
52,2.4,33.8,53,Kerguelen Islands
57,2.3,34.3,409,Kerguelen Islands
62,2.4,33.8,135,Kerguelen Islands
67,-1.2,34.3,183,Kerguelen Islands
72,1.8,33.9,203,Kerguelen Islands
77,4.7,33.8,47,Kerguelen Islands
82,-1.9,34.4,54,Kerguelen Islands
87,2.5,33.9,155,Kerguelen Islands
92,2.2,34.3,448,Kerguelen Islands
97,1.2,33.9,55,Kerguelen Islands
102,4.4,33.8,22,Kerguelen Islands
107,-2.0,34.4,294,Kerguelen Islands
112,1.1,33.9,163,Kerguelen Islands
117,2.3,34.2,367,Kerguelen Islands
122,-1.9,34.2,32,Kerguelen Islands
127,2.0,34.1,324,Kerguelen Islands
132,2.2,34.4,425,Kerguelen Islands
137,0.6,33.9,119,Kerguelen Islands
142,1.6,34.4,229,Kerguelen Islands
147,1.8,34.4,267,Kerguelen Islands
152,1.8,33.7,25,Kerguelen Islands
157,-1.8,34.3,131,Kerguelen Islands
162,-1.6,34.4,103,Kerguelen Islands
167,-1.3,34.3,108,Kerguelen Islands
172,-1.2,33.7,56,Kerguelen Islands
177,-0.4,33.9,121,Kerguelen Islands
182,-1.5,33.8,33,Kerguelen Islands
187,-1.5,34.0,58,Kerguelen Islands
192,-1.7,34.4,216,Kerguelen Islands
197,-1.6,34.4,124,Kerguelen Islands
202,-1.9,34.2,19,Kerguelen Islands
207,-1.5,34.4,146,Kerguelen Islands
212,-1.2,34.4,176,Kerguelen Islands
217,-2.0,34.3,68,Kerguelen Islands
222,-2.0,34.4,202,Kerguelen Islands
227,-1.9,34.1,48,Kerguelen Islands
232,0.6,33.9,61,Kerguelen Islands
237,1.8,33.9,31,Kerguelen Islands
242,1.8,33.9,17,Kerguelen Islands
247,1.6,34.3,241,Kerguelen Islands
252,2.1,34.4,381,Kerguelen Islands
257,2.8,33.9,33,Kerguelen Islands
262,2.2,34.2,333,Kerguelen Islands
267,1.9,34.4,246,Kerguelen Islands
272,-0.1,33.9,76,Kerguelen Islands
277,1.7,34.4,246,Kerguelen Islands
282,-1.7,34.0,70,Kerguelen Islands
287,-0.8,34.4,105,Kerguelen Islands
292,-1.9,34.2,43,Kerguelen Islands
297,-1.9,34.2,32,Kerguelen Islands
3,2.3,34.6,635,Macquarie Island
8,1.3,34.7,166,Macquarie Island
13,-2.0,33.9,47,Macquarie Island
18,1.7,34.4,163,Macquarie Island
23,0.4,34.7,379,Macquarie Island
28,1.6,34.7,270,Macquarie Island
33,1.6,34.7,279,Macquarie Island
38,1.6,34.7,442,Macquarie Island
43,-0.1,34.5,100,Macquarie Island
48,2.1,34.6,280,Macquarie Island
53,1.1,34.7,194,Macquarie Island
58,1.7,34.7,204,Macquarie Island
63,1.1,34.7,330,Macquarie Island
68,1.7,34.7,277,Macquarie Island
73,1.7,34.7,306,Macquarie Island
78,1.6,34.7,565,Macquarie Island
83,1.3,34.6,194,Macquarie Island
88,1.6,34.6,111,Macquarie Island
93,1.3,34.7,588,Macquarie Island
98,1.0,34.7,461,Macquarie Island
103,-0.4,34.4,83,Macquarie Island
108,1.5,34.7,584,Macquarie Island
113,1.5,34.7,163,Macquarie Island
118,-0.6,34.1,59,Macquarie Island
123,7.2,33.9,55,Macquarie Island
128,2.5,34.4,346,Macquarie Island
133,1.8,34.7,291,Macquarie Island
138,-0.6,34.4,125,Macquarie Island
143,1.3,34.6,255,Macquarie Island
148,-0.6,34.5,188,Macquarie Island
153,1.9,34.7,297,Macquarie Island
158,0.4,34.0,53,Macquarie Island
163,-0.8,34.0,41,Macquarie Island
168,0.3,34.6,226,Macquarie Island
173,1.3,34.7,542,Macquarie Island
178,0.2,34.5,136,Macquarie Island
183,-0.1,34.4,82,Macquarie Island
188,-0.6,34.2,59,Macquarie Island
193,0.2,34.5,113,Macquarie Island
198,1.3,34.7,397,Macquarie Island
203,1.0,34.7,709,Macquarie Island
208,1.2,34.7,545,Macquarie Island
213,1.2,34.7,567,Macquarie Island
218,1.2,34.7,466,Macquarie Island
223,1.1,34.7,216,Macquarie Island
228,1.6,34.7,418,Macquarie Island
233,1.6,34.7,470,Macquarie Island
238,1.7,34.7,291,Macquarie Island
243,1.5,34.8,646,Macquarie Island
248,-2.0,34.0,29,Macquarie Island
253,1.3,34.7,408,Macquarie Island
258,1.4,34.8,575,Macquarie Island
263,1.4,34.7,231,Macquarie Island
268,1.2,34.8,822,Macquarie Island
273,1.7,34.7,308,Macquarie Island
278,1.5,34.7,435,Macquarie Island
283,1.5,34.7,518,Macquarie Island
288,3.6,34.0,97,Macquarie Island
293,3.1,33.9,118,Macquarie Island
298,3.6,33.8,42,Macquarie Island
