ID,Sex,AgeG,StrideL(cm),Time (Min)
4,F,Older,116,344.9
14,F,Older,133,261.8
27,F,Older,150,259
38,F,Older,157,230
1,M,Older,103,321.7
6,M,Older,117,334.9
11,M,Older,122,291
22,M,Older,132,261.6
30,M,Older,135,281
38,M,Older,138,267.9
46,M,Older,146,269
55,M,Older,150,249
69,M,Older,153,224.6
86,M,Older,159,201
93,M,Older,161,246
99,M,Older,165,155
112,M,Older,170,156.9
119,M,Older,176,208
130,M,Older,182,182.7
142,M,Older,193,190
10,F,Younger,124,318
19,F,Younger,138,259.9
28,F,Younger,151,233
35,F,Younger,155,242.6
45,F,Younger,164,237
50,F,Younger,168,171.8
13,M,Younger,123,280.9
21,M,Younger,131,291.9
33,M,Younger,135,257
48,M,Younger,147,245.7
57,M,Younger,150,250.9
65,M,Younger,152,237
73,M,Younger,154,229.9
79,M,Younger,156,217
89,M,Younger,159,234
103,M,Younger,165,251
111,M,Younger,169,212
134,M,Younger,184,179
141,M,Younger,190,165.6
144,M,Younger,195,198.9
