ID,Sex,AgeG,StrideL(cm),Time (Min)
1,F,Older,104,371
2,F,Younger,106,336.9
3,F,Older,114,321.7
4,F,Older,116,344.9
5,F,Older,119,280.7
6,F,Younger,119,280.9
7,F,Younger,119,282.6
8,F,Younger,122,287.7
9,F,Older,123,346.6
10,F,Younger,124,318
11,F,Older,127,300.7
12,F,Younger,131,293
13,F,Older,132,321
14,F,Older,133,261.8
15,F,Older,134,302.9
16,F,Younger,134,277.7
17,F,Younger,134,283
18,F,Younger,135,298.7
19,F,Younger,138,259.9
20,F,Younger,138,269
21,F,Younger,143,259
22,F,Older,146,266
23,F,Older,148,241.9
24,F,Younger,148,254.9
25,F,Older,149,244.9
26,F,Younger,149,261
27,F,Older,150,259
28,F,Younger,151,233
29,F,Younger,152,270
30,F,Younger,153,233
31,F,Older,155,233
32,F,Older,155,240
33,F,Younger,155,230
34,F,Younger,155,240
35,F,Younger,155,242.6
36,F,Older,156,213.8
37,F,Older,156,214.9
38,F,Older,157,230
39,F,Younger,158,227.7
40,F,Younger,158,234.8
41,F,Younger,158,244.8
42,F,Older,159,232
43,F,Older,159,252
44,F,Younger,163,239.6
45,F,Younger,164,237
46,F,Younger,164,238
47,F,Younger,165,240.8
48,F,Younger,166,217.9
49,F,Younger,166,253
50,F,Younger,168,171.8
51,F,Younger,168,196.6
52,F,Older,171,218.7
53,F,Younger,172,191
54,F,Younger,182,207.9
55,F,Older,183,199.6
56,F,Younger,186,195
1,M,Older,103,321.7
2,M,Older,107,334.8
3,M,Older,109,349
4,M,Older,112,339
5,M,Older,113,324
6,M,Older,117,334.9
7,M,Older,118,325.8
8,M,Older,120,282
9,M,Older,120,327
10,M,Older,121,302
11,M,Older,122,291
12,M,Older,123,288
13,M,Younger,123,280.9
14,M,Younger,123,283.8
15,M,Older,124,317
16,M,Younger,124,310.9
17,M,Older,125,322
18,M,Younger,127,287
19,M,Younger,130,306.9
20,M,Older,131,300
21,M,Younger,131,291.9
22,M,Older,132,261.6
23,M,Older,133,284.7
24,M,Younger,133,313.6
25,M,Older,134,275
26,M,Older,134,287.6
27,M,Younger,134,259.6
28,M,Younger,134,283.7
29,M,Older,135,258
30,M,Older,135,281
31,M,Older,135,306.7
32,M,Younger,135,255.8
33,M,Younger,135,257
34,M,Older,136,264
35,M,Younger,136,266.7
36,M,Older,137,263
37,M,Older,137,267
38,M,Older,138,267.9
39,M,Older,138,274.6
40,M,Older,138,279.9
41,M,Younger,138,263
42,M,Younger,140,269.5
43,M,Older,144,263.8
44,M,Younger,144,255
45,M,Older,146,257.7
46,M,Older,146,269
47,M,Older,147,268
48,M,Younger,147,245.7
49,M,Older,148,253.8
50,M,Older,149,235.5
51,M,Older,149,276
52,M,Younger,149,228
53,M,Younger,149,231
54,M,Younger,149,267
55,M,Older,150,249
56,M,Younger,150,228.7
57,M,Younger,150,250.9
58,M,Older,151,235
59,M,Older,151,249.9
60,M,Older,151,270
61,M,Younger,151,265
62,M,Younger,152,227.5
63,M,Younger,152,230.8
64,M,Younger,152,236
65,M,Younger,152,237
66,M,Younger,152,253
67,M,Younger,152,255
68,M,Older,153,224
69,M,Older,153,224.6
70,M,Older,153,239.6
71,M,Younger,153,244.6
72,M,Younger,153,248.9
73,M,Younger,154,229.9
74,M,Younger,155,204.6
75,M,Younger,155,214.9
76,M,Younger,155,231.9
77,M,Older,156,243
78,M,Younger,156,214
79,M,Younger,156,217
80,M,Younger,156,244
81,M,Younger,156,253
82,M,Older,157,229
83,M,Younger,157,227.8
84,M,Older,158,203.9
85,M,Younger,158,233
86,M,Older,159,201
87,M,Older,159,227
88,M,Older,159,243
89,M,Younger,159,234
90,M,Younger,159,248.8
91,M,Older,160,221.8
92,M,Older,160,253
93,M,Older,161,246
94,M,Older,162,251
95,M,Older,163,207
96,M,Older,163,215.9
97,M,Younger,163,242.6
98,M,Older,164,248.7
99,M,Older,165,155
100,M,Older,165,240.7
101,M,Younger,165,189
102,M,Younger,165,235.8
103,M,Younger,165,251
104,M,Older,166,220
105,M,Younger,166,225.9
106,M,Younger,167,237.9
107,M,Older,168,178.7
108,M,Older,168,210
109,M,Younger,169,176
110,M,Younger,169,212
111,M,Younger,169,212
112,M,Older,170,156.9
113,M,Older,171,196.9
114,M,Older,172,180
115,M,Older,172,208.9
116,M,Younger,172,198
117,M,Younger,173,205.6
118,M,Older,174,193.6
119,M,Older,176,208
120,M,Younger,176,211
121,M,Younger,176,220
122,M,Older,177,205.9
123,M,Older,177,208
124,M,Younger,178,219.7
125,M,Older,180,207
126,M,Older,180,212
127,M,Younger,180,203.6
128,M,Younger,180,206.7
129,M,Younger,181,214
130,M,Older,182,182.7
131,M,Older,182,207
132,M,Older,182,210.6
133,M,Younger,183,203.7
134,M,Younger,184,179
135,M,Older,185,188.9
136,M,Younger,185,169.7
137,M,Older,187,198.9
138,M,Younger,187,188.7
139,M,Younger,188,161
140,M,Younger,189,197.6
141,M,Younger,190,165.6
142,M,Older,193,190
143,M,Younger,193,176
144,M,Younger,195,198.9
